,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
129,2020-09-17,136.79086014741432,108.61912995506272,165.43526665824794,136.79086014741432,136.79086014741432,-1.294874905119011,-1.294874905119011,-1.294874905119011,-1.294874905119011,-1.294874905119011,-1.294874905119011,0.0,0.0,0.0,135.49598524229532
130,2020-09-18,137.43612254047707,107.19418923320715,163.36882584092618,137.43612254047707,137.43612254047707,-2.584083880934199,-2.584083880934199,-2.584083880934199,-2.584083880934199,-2.584083880934199,-2.584083880934199,0.0,0.0,0.0,134.85203865954287
131,2020-09-21,139.37190971966538,110.483490032968,166.2908962063957,139.37190971966538,139.37190971966538,-1.9619862976974654,-1.9619862976974654,-1.9619862976974654,-1.9619862976974654,-1.9619862976974654,-1.9619862976974654,0.0,0.0,0.0,137.4099234219679
132,2020-09-22,140.01717211272816,112.13520750730774,169.37063982065555,140.01717211272816,140.01717211272816,-0.8252909375582858,-0.8252909375582858,-0.8252909375582858,-0.8252909375582858,-0.8252909375582858,-0.8252909375582858,0.0,0.0,0.0,139.19188117516987
133,2020-09-23,140.66243450579094,110.6389649399531,166.6061846899426,140.66243450579094,140.66243450579094,-1.1796613845144277,-1.1796613845144277,-1.1796613845144277,-1.1796613845144277,-1.1796613845144277,-1.1796613845144277,0.0,0.0,0.0,139.48277312127652
134,2020-09-24,141.3076968988537,109.25710483403608,165.61585110655392,141.3076968988537,141.3076968988537,-1.294874905121564,-1.294874905121564,-1.294874905121564,-1.294874905121564,-1.294874905121564,-1.294874905121564,0.0,0.0,0.0,140.01282199373213
135,2020-09-25,141.95295929191644,109.21890952477548,166.22933223354366,141.95295929191644,141.95295929191644,-2.584083880946541,-2.584083880946541,-2.584083880946541,-2.584083880946541,-2.584083880946541,-2.584083880946541,0.0,0.0,0.0,139.3688754109699
136,2020-09-28,143.95718276801716,113.0931510338493,169.56645325278498,143.95718276801716,143.95718276801716,-1.9619862977017994,-1.9619862977017994,-1.9619862977017994,-1.9619862977017994,-1.9619862977017994,-1.9619862977017994,0.0,0.0,0.0,141.99519647031536
137,2020-09-29,144.62525726005074,116.49379056383947,174.46817871217007,144.62525726005074,144.62525726005074,-0.8252909375596911,-0.8252909375596911,-0.8252909375596911,-0.8252909375596911,-0.8252909375596911,-0.8252909375596911,0.0,0.0,0.0,143.79996632249106
138,2020-09-30,145.2933317520843,113.74514512768316,171.42188335591558,145.2933317520843,145.2933317520843,-1.1796613845142285,-1.1796613845142285,-1.1796613845142285,-1.1796613845142285,-1.1796613845142285,-1.1796613845142285,0.0,0.0,0.0,144.11367036757008
139,2020-10-01,145.96140624411785,116.73011674706626,171.7394614432251,145.96140624411785,145.96140624411785,-1.2948749051241168,-1.2948749051241168,-1.2948749051241168,-1.2948749051241168,-1.2948749051241168,-1.2948749051241168,0.0,0.0,0.0,144.66653133899374
140,2020-10-02,146.62948073615144,113.2257984378186,173.9684225791737,146.62948073615144,146.62948073615144,-2.584083880948055,-2.584083880948055,-2.584083880948055,-2.584083880948055,-2.584083880948055,-2.584083880948055,0.0,0.0,0.0,144.0453968552034
141,2020-10-05,148.63370421225213,116.71226701099386,176.1426141022186,148.63370421225213,148.63370421225213,-1.9619862977061329,-1.9619862977061329,-1.9619862977061329,-1.9619862977061329,-1.9619862977061329,-1.9619862977061329,0.0,0.0,0.0,146.671717914546
142,2020-10-06,149.3017787042857,119.215585213563,178.0200704070689,149.3017787042857,149.3017787042857,-0.8252909375663766,-0.8252909375663766,-0.8252909375663766,-0.8252909375663766,-0.8252909375663766,-0.8252909375663766,0.0,0.0,0.0,148.47648776671934
143,2020-10-07,149.9698531963193,120.95146401440367,177.4678432173838,149.9698531963193,149.9698531963193,-1.1796613845140305,-1.1796613845140305,-1.1796613845140305,-1.1796613845140305,-1.1796613845140305,-1.1796613845140305,0.0,0.0,0.0,148.79019181180527
144,2020-10-08,150.68601149179256,120.7930241166605,176.49739728599934,150.68601149179256,150.68601149179256,-1.2948749051237263,-1.2948749051237263,-1.2948749051237263,-1.2948749051237263,-1.2948749051237263,-1.2948749051237263,0.0,0.0,0.0,149.39113658666884
145,2020-10-09,151.40216978726582,119.78035117335128,177.9964109401233,151.40216978726582,151.40216978726582,-2.5840838809436786,-2.5840838809436786,-2.5840838809436786,-2.5840838809436786,-2.5840838809436786,-2.5840838809436786,0.0,0.0,0.0,148.81808590632215
146,2020-10-12,153.5506446736856,123.39236002021877,177.81005670562553,153.5506446736856,153.5506446736856,-1.9619862977104672,-1.9619862977104672,-1.9619862977104672,-1.9619862977104672,-1.9619862977104672,-1.9619862977104672,0.0,0.0,0.0,151.58865837597514
147,2020-10-13,154.26680296915885,124.98365478076823,182.32762600499714,154.26680296915885,154.26680296915885,-0.8252909375677818,-0.8252909375677818,-0.8252909375677818,-0.8252909375677818,-0.8252909375677818,-0.8252909375677818,0.0,0.0,0.0,153.44151203159106
148,2020-10-14,154.98296126463214,125.29290836399636,181.18952632698102,154.98296126463214,154.98296126463214,-1.179661384513603,-1.179661384513603,-1.179661384513603,-1.179661384513603,-1.179661384513603,-1.179661384513603,0.0,0.0,0.0,153.80329988011854
149,2020-10-15,155.69911956010543,127.12804854514393,181.36293522040134,155.69911956010543,155.69911956010543,-1.294874905129222,-1.294874905129222,-1.294874905129222,-1.294874905129222,-1.294874905129222,-1.294874905129222,0.0,0.0,0.0,154.4042446549762
150,2020-10-16,156.4152778555787,125.86937668199901,181.32252052323233,156.4152778555787,156.4152778555787,-2.5840838809393016,-2.5840838809393016,-2.5840838809393016,-2.5840838809393016,-2.5840838809393016,-2.5840838809393016,0.0,0.0,0.0,153.8311939746394
151,2020-10-19,158.56375274199846,129.12533945891602,187.20757531068867,158.56375274199846,158.56375274199846,-1.9619862977081775,-1.9619862977081775,-1.9619862977081775,-1.9619862977081775,-1.9619862977081775,-1.9619862977081775,0.0,0.0,0.0,156.6017664442903
